text,l1,l2,l3
"Neuron is a biweekly peer-reviewed scientific journal published by Cell Press, and imprint of Elsevier. It was established in 1988, and covers neuroscience and related biological processes. The Editor in Chief is Katja Brose.",Work,PeriodicalLiterature,AcademicJournal
"Historical Studies in the Natural Sciences is a peer-reviewed academic journal published by University of California Press on behalf of the Office for History of Science and Technology (University of California, Berkeley). It was established in 1970 as the biannual Historical Studies in the Physical Sciences, was renamed to  Historical Studies in the Physical and Biological Sciences in 1985, and obtained its current name at the start of the 2008 volume, when it also changed its publication frequency. It covers the study of the intellectual and social history of the physical sciences (including physics, chemistry, and astronomy) and the biological sciences (including biology, biophysics, and genetics), from the 17th century to the modern era. The journal was established by Russell McCormmach, who edited its first ten annual volumes. John L. Heilbron took over as editor in 1980 and in 1985 added \""Biological\"" to the title. In 2008, Cathryn Carson took over as editor-in-chief.",Work,PeriodicalLiterature,AcademicJournal
"The Proceedings of the Chemical Society was a scientific journal published at various times in the life of the Chemical Society, a scientific society in the United Kingdom that combined with other societies to form the Royal Society of Chemistry in 1980. In 1841, the Society published Memoirs of the Chemical Society, renamed in 1842 to Proceedings of the Chemical Society. Together these were volume 1. Volumes 2 and 3 were published as Memoirs and Proceedings, Chemical Society, London between 1843 and 1848. The Proceedings of the Chemical Society, London were published from vol. 1, 1885 to vol. 30, 1914 and from 1950 to 1964. Between 1915 and 1956 the Proceedings of the Chemical Society, London were published as a supplement to Journal of the Chemical Society, London.",Work,PeriodicalLiterature,AcademicJournal
"The International Journal of Manpower is an academic journal published by the Emerald Group, (formerly MCB University Press), addressing topics in labour economics and human resource planning.",Work,PeriodicalLiterature,AcademicJournal
The Journal of Planning History is a quarterly peer-reviewed academic journal that covers the field of history of city planning. The journal's editors are Nicholas Dagen Bloom (New York Institute of Technology) and Sonia Hirt (Virginia Tech). It was established in 2002 and is currently published by SAGE Publications on behalf of the Society for American City and Regional Planning History.,Work,PeriodicalLiterature,AcademicJournal
"The Computer Aided Surgery is a scientific journal covering all aspects of Computer-assisted surgery (CAS), a surgical concept and set of methods, that use computer technology for presurgical planning, and for guiding or performing surgical interventions. The International Society for Computer Aided Surgery (ISCAS) is involved in the publication of the Journal.",Work,PeriodicalLiterature,AcademicJournal
"The Electronic Communications in Probability is a peer-reviewed open access scientific journal published by the Institute of Mathematical Statistics and the Bernoulli Society. The editor-in-chief is Sandrine Péché (Paris Diderot University). It contains short articles covering probability theory, whereas its sister journal, the Electronic Journal of Probability, publishes full-length papers and shares the same editorial board, but with a different editor-in-chief.",Work,PeriodicalLiterature,AcademicJournal
"Public Administration is a quarterly peer-reviewed academic journal which covers research, theory, and practice in public administration, public policy, public organization theory, and public management. It was established in 1923 and was ranked in the top of its field by a 1983 survey. One of its founders was the Liberal and later Labour statesman Richard Haldane (1st Viscount of Haldane), and the journal awards an annual prize in his honour to the most distinguished practitioner essay published in Public Administration in that year. The journal is published by Wiley-Blackwell and is edited by Arjen Boin. From 1983-2011, the journal was edited by R. A. W. Rhodes. Public Administration is indexed by Scopus and the Social Sciences Citation Index. According to the Journal Citation Reports, the journal has a 2014 impact factor of 1.518, ranking it 35th out of 161 journals in the category \""Political Science\"" and 11th out of 46 journals in the category \""Public Administration\"".",Work,PeriodicalLiterature,AcademicJournal
"The Zeitschrift für Ostmitteleuropa-Forschung (English: \""Journal for East Central European Studies\"") is a quarterly peer-reviewed academic journal covering the history and culture of Eastern Europe. It is published by the Herder-Institut für historische Ostmitteleuropaforschung (English: \""Herder Institute for Historical Research on East Central Europe\""; Marburg) and the editors-in-chief are Heidi Hein-Kircher and Anna Veronika Wendland.",Work,PeriodicalLiterature,AcademicJournal
"The Australian Journal of Physics (Austr J Phys) was a peer-reviewed scientific journal published by the Commonwealth Scientific and Industrial Research Organisation in Australia. It was a journal for the publication of reviews covering all branches of physics. The journal surveyed the development of selected topics within the wider context of physics. The Austr J Phys published its last issue in April 2001 and is no longer receiving papers. The journal's electronic archive, covering the years 1997-2001, is available for free full text access. One of the most highly cited papers published in the Austr J Phys is \""Strip Integration in Radio Astronomy\"" by Ronald N. Bracewell (Volume 9, Pages 198-217, 1956), in which he first presented the projection-slice theorem widely used in medical imaging.",Work,PeriodicalLiterature,AcademicJournal
"Philosophy in Review (PIR), formerly Canadian Philosophical Reviews (CPR), is an English language online, open access journal, specializing in the review of books about philosophy. PIR is published six times a year and covers all areas of and approaches to philosophy. Begun as a publication of Academic Printing and Publishing (APP) in 1981 by its first editor and publisher, Roger Shiner, CPR changed its name to PIR in 1997. In 2006 editorship of PIR passed to Jeffrey Foss of the University of Victoria, in British Columbia, Canada, who was succeeded in 2007 by David Scott, also of the University of Victoria. In 2010 the University of Victoria replaced APP as PIR’s publisher. The formal association of PIR with the Philosophy Department at the University of Victoria ended when Taneli Kukkonen, then of the University of Otago, became editor. He was succeeded by Neil Levy (University of Melbourne) and Robert Piercy (University of Regina). Issues back to Volume 1, Number 1 (1981) are accessible online and can easily be searched.You can browse by issue, by author of Review and by title or author of the book.",Work,PeriodicalLiterature,AcademicJournal
The Journal of Family Psychology is a peer-reviewed academic journal published by the American Psychological Association. It was established in 1987 and covers research in family psychology. The current editor-in-chief is Nadine Kaslow (Emory University).,Work,PeriodicalLiterature,AcademicJournal
The Journal of Legal Pluralism (formerly African Law Studies) is a triannual peer-reviewed academic journal focusing on all aspects of legal pluralism and unofficial law. It was established in 1969 and is the official publication of the Commission on Legal Pluralism. The journal is published by Taylor & Francis. The editor-in-chief is Dik Roth (Wageningen University). Past editors-in-chief include Melanie Wiber (University of New Brunswick) and Gordon Woodman (University of Birmingham).,Work,PeriodicalLiterature,AcademicJournal
For the history of American literature see American literature. American Literary History is a quarterly peer-reviewed academic journal published by Oxford University Press that covers all periods of American literature. It was founded in 1989 and is edited by Gordon Hutner.,Work,PeriodicalLiterature,AcademicJournal
General Music Today is a triannual peer-reviewed academic journal that covers the field of music. The journal's editor-in-chief is Shelly Cooper (University of Arizona). It was established in 1991 and is currently published by SAGE Publications in association with the National Association for Music Education.,Work,PeriodicalLiterature,AcademicJournal
"The Journal of Genocide Research is a quarterly peer-reviewed academic journal covering studies of genocide. It was established in 1999 and is published by Routledge. The editor-in-chief is A. Dirk Moses (University of Sydney). It is the official journal of the International Network of Genocide Scholars. Previous editors have been Henry R. Huttenbach, Dominik J. Schaller, and Jürgen Zimmerer. The journal is abstracted and indexed in Political Science Abstracts, Historical Abstracts, and America: History and Life.",Work,PeriodicalLiterature,AcademicJournal
"The Journal of Neuroendocrinology, first published in 1989 is an academic journal that mainly publishes reports of original research in the field of neuroendocrinology, along with occasional review articles; it claims to provide “the principal international focus for the newest ideas in classical neuroendocrinology (vertebrate and invertebrate) and its expanding interface with the regulation of behavioural, cognitive, developmental, degenerative and metabolic processes.”",Work,PeriodicalLiterature,AcademicJournal
"(This article is about the journal. For the topic, see Social neuroscience.) Social Neuroscience is a peer-reviewed academic journal covering research in social neuroscience. It was established in March 2006 and is published by the Psychology Press, a division of Taylor and Francis. The editor is Paul J. Eslinger (Penn State Hershey Medical Center). According to the Journal Citation Reports, the journal has a 2011 impact factor of 2.738, ranking it 23rd out of 75 journals in the category \""Psychology\"" and 123rd out of 244 journals in the category \""Neuroscience\"". Originally, it published 3 issues per year (with the last issue being a double one). Starting in 2009, the publication frequency was increased to 6 issues per year. Each year, Social Neuroscience publishes a special issue (e.g., on theory of mind, empathy, developmental neuroscience, or deception). The journal is abstracted and indexed in the Science Citation Index Expanded, PsycINFO, Scopus, and PubMed/MEDLINE.",Work,PeriodicalLiterature,AcademicJournal
"World Neurosurgery is a bimonthly peer-reviewed medical journal that was established in 1973 as Surgical Neurology before obtaining its current name in 2010. It is published by Elsevier and is the official journal of the World Federation of Neurosurgical Societies. The editor-in-chief is Edward C. Benzel (Department of Neurosurgery, Cleveland Clinic).",Work,PeriodicalLiterature,AcademicJournal
