Y1,Y2,Y,Domain,area,keywords,Abstract
5,0,72,Medical , Addiction  , Review; Acute Opiate; Opioid Abstinence; Withdrawal; Anti-Opiate Dopamine Restoration Model; AODR; Functional Connectivity; Dopamine Homeostasis; Endorphinergic; Glutaminergic and Dopaminergic Reward Mechanisms        ,"This review begins with a comprehensive history of opioid dependence and treatment in the United States. The focus is an evidence-based treatment model for opioid/opiate dependent individuals. The role of reward genetic polymorphisms and the epigenetic modifications that lead to vulnerability to use and misuse of opiates/opioid to treat pain are reviewed. The neurochemical mechanisms of acute opiate withdrawal and opiate/opioid reward mechanisms are explored with a goal of identifying specific treatment targets. Alterations in functional brain connectivity based on neurobiological mechanisms in heroin dependence and abstinence are also reviewed. A new clinical model an alternative to merely blocking acute withdrawal symptoms as identified in the DSM-5 is proposed. Genetic diagnosis at the onset of detoxification, to determine risk stratification, and identify polymorphic gene targets for pharmaceutical and nutraceutical interventions, followed by the simultaneous initiation of Medication Assisted Therapy (MAT), to enable psychological extinction, and steady pro-dopaminergic therapy with the goal of developing ""dopamine homeostasis"" is recommended. The objective of these interventions is to prevent future relapse by treating all ""Reward Deficiency Syndrome"" (RDS) behaviors and eventually make an addiction-free life possible."
5,0,72,Medical , Addiction  , Addiction; alcohol; CIE; mouse; NMDAR; orbitofrontal cortex        ,"Addictions, including alcohol use disorders, are characterized by the loss of control over drug seeking and consumption, but the neural circuits and signaling mechanisms responsible for the transition from controlled use to uncontrolled abuse remain incompletely understood. Prior studies have shown that compulsive-like' behaviors in rodents, for example, persistent responding for ethanol (EtOH) despite punishment, are increased after chronic exposure to EtOH. The main goal of the current study was to assess the effects of chronic intermittent EtOH (CIE) exposure on multiple, putative measures of compulsive-like EtOH seeking in C57BL/6J mice. Mice were exposed to two or four weekly cycles of CIE and then, post-withdrawal, tested for progressive ratio responding for EtOH, sustained responding during signaled EtOH unavailability and (footshock) punished suppression of responding for EtOH. Results showed that mice exposed to CIE exhibited attenuated suppression of EtOH seeking during punishment, as compared with air-exposed controls. By contrast, CIE exposure affected neither punished food reward-seeking behavior, nor other putative measures of compulsive-like EtOH seeking. Ex vivo reverse transcription polymerase chain reaction analysis of brain tissue found reduced sensitivity to punished EtOH seeking after CIE exposure was accompanied by a significant increase in gene expression of the GluN1 and GluN2A subunits of the N-methyl-d-aspartate receptor, specifically in the medial orbitofrontal cortex. Moreover, slice electrophysiological analysis revealed increased N-methyl-d-aspartate receptor-mediated currents in the orbitofrontal cortex after CIE exposure in test-naive mice. Collectively, the current findings add to the growing body of evidence demonstrating that chronic exposure to EtOH fosters resistance to punished EtOH seeking in association with adaptations in cortical glutamatergic transmission."
5,0,72,Medical , Addiction  , reward; dorsal striatum; habit-based decision making; sugar-sweetened beverage; obesity; fMRI; ventromedial prefrontal cortex        ,"Background: Current obesity theories suggest that the repeated intake of highly palatable high-sugar foods causes adaptions in the striatum, parietal lobe, and prefrontal and visual cortices in the brain that may serve to perpetuate consumption in a feed-forward manner. However, the data for humans are cross-sectional and observational, leaving little ability to determine the temporal precedence of repeated consumption on brain response. Objective: We tested the impact of regular sugar-sweetened beverage intake on brain and behavioral responses to beverage stimuli. Design: We performed an experiment with 20 healthy-weight individuals who were randomly assigned to consume 1 of 2 sugar-sweetened beverages daily for 21 d, underwent 2 functional MRI sessions, and completed behavioral and explicit hedonic assessments. Results: Consistent with preclinical experiments, daily beverage consumption resulted in decreases in dorsal striatal response during receipt of the consumed beverage (r = -0.46) and decreased ventromedial prefrontal response during logo-elicited anticipation (r = -0.44). This decrease in the prefrontal response correlated with increases in behavioral disinhibition toward the logo of the consumed beverage (r = 0.54; P = 0.02). Daily beverage consumption also increased precuneus response to both juice logos compared with a tasteless control (r = 0.45), suggesting a more generalized effect toward beverage cues. Last, the repeated consumption of 1 beverage resulted in an explicit hedonic devaluation of a similar nonconsumed beverage (P < 0.001). Conclusions: Analogous to previous reports, these initial results provide convergent data for a role of regular sugar-sweetened beverage intake in altering neurobehavioral responses to the regularly consumed beverage that may also extend to other beverage stimuli. Future research is required to provide evidence of replication in a larger sample and to establish whether the neurobehavioral adaptations observed herein are specific to high-sugar and/or nonnutritive-sweetened beverages or more generally related to the repeated consumption of any type of food."
5,0,72,Medical , Addiction  , trauma; sensitization; cross-sensitization; addiction; craving; relapse        ,"Background: Excessive gambling is considered to be a part of the addiction spectrum. Stress-like emotional states are a key feature both of pathological gambling (PG) and of substance addiction. In substance addiction, stress symptomatology has been attributed in part to ""anti-reward"" allostatic neuroadaptations, while a potential involvement of anti-reward processes in the course of PG has not yet been investigated. Methods: To that end, individuals with PG (n = 22) and mentally healthy subjects (n = 13) were assessed for trauma exposure and post-traumatic stress symptomatology (PTSS) using the Life Events Checklist and the Civilian Mississippi Scale, respectively. Results: In comparison with healthy subjects, individuals with PG had significantly greater PTSS scores including greater physiological arousal sub-scores. The number of traumatic events and their recency were not significantly different between the groups. In the PG group, greater gambling severity was associated with more PTSS, but neither with traumatic events exposure nor with their recency. Conclusions: Our data replicate prior reports on the role of traumatic stress in the course of PG and extend those findings by suggesting that the link may be derived from the anti-reward-type neuroadaptation rather than from the traumatic stress exposure per se."
5,0,72,Medical , Addiction  , ventral tegmental area; deep brain stimulation; depression; functional magnetic resonance; fast-scan cyclic voltammetry        ,"Back ground : The ventral tegmental area (VTA), containingmesolimbic andmesocortical dopaminergic neurons, is implicated in processes involving reward, addiction, reinforcement, and learning, which are associated with a variety of neuropsychiatric disorders. Electrical stimulation of the VTA or the medial forebrain bundle and its projection target the nucleus accumbens (NAc) is reported to improve depressive symptoms in patients affected by severe, treatment-resistant major depressive disorder (MDD) and depressive-like symptoms in animal models of depression. Here we sought to determine the neuromodulatory effects of VTA deep brain stimulation (DBS) in a normal large animal model (swine) by combining neurochemical measurements with functional magnetic resonance imaging (fMRI). Methods : Animals (n= 8 swine) were implanted with a unilateral DBS electrode targeting the VTA. During stimulation (130 Hz frequency, 0.25 ms pulse width, and 3 V amplitude), fMRI was performed. Following fMRI, fast-scan cyclic voltammetry in combination with carbon fiber microelectrodes was performed to quantify VTA-DBS-evoked dopamine release in the ipsilateral NAc. In a subset of swine, the blood oxygen level-dependent (BOLD) percent change evoked by stimulation was performed at increasing voltages (1, 2, and 3 V). Results : A significant increase in VTA-DBS-evoked BOLD signal was found in the following regions: the ipsilateral dorsolateral prefrontal cortex, anterior and posterior cingulate, insula, premotor cortex, primary somatosensory cortex, and striatum. A decrease in the BOLD signal was also observed in the contralateral parahippocampal cortex, dorsolateral and anterior prefrontal cortex, insula, inferior temporal gyrus, and primary somatosensory cortex (Bonferroni-corrected < 0.001). During neurochemical measurements, stimulation time-locked changes in dopamine release were recorded in the NAc, confirming that mesolimbic dopaminergic neurons were stimulated by DBS. In the parametric study, BOLD signal changes were positively correlated with stimulation amplitude. Conclusions : In this study, the modulation of the neural circuitry associated with VTA-DBS was characterized in a large animal. Our findings suggest that VTA-DBS could affect the activity of neural systems and brain regions implicated in reward, mood regulation, and in the pathophysiology of MDD. In addition, we showed that a combination of fMRI and electrochemically-based neurochemical detection platform is an effective investigative tool for elucidating the circuitry involved in VTA-DBS."
5,0,72,Medical , Addiction  , Mitragyna; Mitragyna speciosa extract; kratom; benefits; risks; fatality; toxicity        ,"Background: Kratom (Mitragyna speciosa) is a tropical tree with a long history of traditional use in parts of Africa and Southeast Asia. Kratom is also known as Thom, Thang, and Biak. Its leaves and the teas brewed from them have long been used by people in that region to manage pain and opioid withdrawal and to stave off fatigue. Kratom is actually consumed throughout the world for its stimulant effects and as an opioid substitute (in form of tea, chewed, smoked, or ingested in capsules). Some case reports have associated kratom exposure with psychosis, seizures, intrahepatic cholestasis, other medical conditions, and deaths. The clinical manifestations of kratom effects are not well defined and the clinical studies are limited. Data research suggest that both stimulant and sedative dose-dependent effects do exist, in addition to antinociceptive, antidepressant activity, anxiolytic-like effects, and anorectic effects, but a growing concern for the drug's effects and safety of use has resulted in national and international attention primarily due to an increase in hospital visits and deaths in several countries that are believed to have been caused by extracts of the plant. There is a dearth of double blind controlled studies. In this study, we aim to use existing literature to clarify both benefits and risks of kratom as well as its diagnosis evaluation as kratom misuse is an emerging trend in the Western world. Methods: Literature review using databases such as Embase, Medline, PubMed, Cochrane Library, and Mendeley from 2007 to 2017 were evaluated by all authors to analyze current state on benefits, risks, and diagnosis evaluation of kratom (M. speciosa). Results: Data analysis suggested that kratom possesses some benefits such as stimulant and sedative effects as wells as antinociceptive effects. It seems to inhibit pro-inflammatory mediator release and vascular permeability and can enhance immunity. In addition, it may be an antidepressant and anorectic. However, kratom can cause intrahepatic cholestasis, seizure, arrhythmia, impair memory function, coma, and death. Psychological manifestations described are euphoria and feeling relaxed to severe symptoms such as aggression, hostility, and psychosis. Medical manifestations described are polyuria, dry mouth, vomiting, and jerky movements. Currently, liquid chromatography/mass spectrometry and ion mobility spectrometry (IMS) are suggested as the most promising to rapidly screen kratom products providing a positive success rate. Conclusion: Our data analysis has not determined if biochemical benefits of kratom may prove to outweigh its toxicity and risks. On the contrary, it seems that its potential side effects outweigh the benefits, and severe and real health hazards can, insidiously, lead to death. Kratom clinical, psychological, and medical manifestations can be disturbing. Kratom (M. speciosa) use, among multiple compounds of the leaf, appear to be increasing in the Western world. Promising methods to accurately identify kratom compounds are still ongoing."
5,0,72,Medical , Addiction  , Meta-analysis; adolescence; addiction; delinquency; disruptive behavior        ,"BackgroundMultidimensional family therapy (MDFT) is a well-established treatment for adolescents showing both substance abuse and/or antisocial behavior. MethodThe effectiveness of MDFT in reducing adolescents' substance abuse, delinquency, externalizing and internalizing psychopathology, and family malfunctioning was examined by means of a (three-level) meta-analysis, summarizing 61 effect sizes from 19 manuscripts (N=1,488 participants). ResultsCompared with other therapies, the overall effect size of MDFT was significant, albeit small in magnitude (d=0.24, p<.001), and similar across intervention outcome categories. Moderator analysis revealed that adolescents with high severity problems, including severe substance abuse and disruptive behavior disorder, benefited more from MDFT than adolescents with less severe conditions. ConclusionsIt can be concluded that MDFT is effective for adolescents with substance abuse, delinquency, and comorbid behavior problems. Subsequently, it is important to match specific characteristics of the adolescents, such as extent of impairment, with MDFT."
5,0,72,Medical , Addiction  , boredom; MSBS; dissociation; depression; anxiety        ,"Objective: Boredom has been defined as ""the aversive experience of wanting, but being unable to engage in satisfying activity"". It is associated with a number of psychosocial and psychopathological problems. The aim of this paper is to test the validity of the Italian version of the Multidimendional State Boredom Scale (MSBS). The results of this investigation indicate that the Italian MSBS has factor structure that is similar to the original MSBS. Furthermore, there is evidence that the Italian MSBS has strong reliability. Method: In total, 690 undergraduate students participated in this research. Participants were 51.3% male, and 48.7% female, with a mean age of 24 years (SD = 4.92, range: 18-50 years). Two studies were conducted. In the first study, a confirmatory factor analysis was performed to determine whether data from the Italian MSBS fit the original MSBS factor structure. In the second study, the association between the Italian version of the MSBS and several related measures was examined. These related measures are: The Boredom Proneness Scale; The Dissociative Experiences Scale-II; Beck Depression Inventory-II; Beck Anxiety Inventory; The Eysenck Personality Questionnaire-Short Version; The Behavioural Inhibition System and Behavioural Activation System. Results: Study 1 found that the Italian translation of the MSBS, administered in an Italian-speaking sample, yielded the same factor structure as the original MSBS. Study 2 found that the Italian MSBS demonstrated construct validity in an Italian sample. Conclusions: The results of the present paper demonstrate that the Italian version of the MSBS is both valid and reliable. Study 1 found that the Italian MSBS has a similar factor structure to the original English MSBS, that the Italian MSBS's factors are significantly associated with one another, and that the Italian MSBS has good reliability. Study 2 demonstrated that the MSBS is valid, as it was related to a number of theoretically important constructs."
5,0,72,Medical , Addiction  , Dopamine receptors; SCH 23390; Raclopride; Social defeat; Cocaine; Conditioned place preference        ,"Social stress modifies the activity of brain areas involved in the rewarding effects of psychostimulants, inducing neuroadaptations in the dopaminergic mesolimbic system and modifying the sensitivity of dopamine receptors. In the present study we evaluated the effect of the dopamine D-1-and D-2 -like receptor antagonists (SCH23390 and raclopride, respectively) on the short-time effects of acute social defeat (ASD). Male OF1 mice were"" socially defeated before each conditioning session of the conditioned place preference (CPP) induced by 1 mg/kg or 25 mg/kg of cocaine plus the corresponding dopamine antagonist. A final experiment was designed to evaluate the effect of the dopamine antagonists on the CPP induced by 3 mg/kg of cocaine with or without a stress experience. Mice exposed to ASD showed an increase in reinstatement of the conditioned reinforcing effects of cocaine that was blocked by all of the dopamine receptor antagonists. Blockade of dopamine D2-like receptors with raclopride specifically prevented the effects of stress without affecting the rewarding properties of cocaine. However, SCH23390 inhibited cocaine-induced preference in the control groups and even induced aversion in defeated mice conditioned with the lower dose of cocaine. Moreover, the lowest dose of SCH23390 blocked the rewarding effects of 3 mg/kg of cocaine-induced CPP. Our results confirm that the dopamine D2 receptor is involved in the short-term effects of ASD on the rewarding effects of cocaine. The dopamine D1 receptor is clearly involved in the rewarding effects of cocaine, but its role in the effects of ASD remains to be demonstrated."
5,0,72,Medical , Addiction  , Addiction; Arc; Cocaine; Extracellular-signal regulated kinase; ERK; Signaling; Striatum        ,"BACKGROUND: Addiction relies on persistent alterations of neuronal properties, which depends on gene regulation. Activity-regulated cytoskeleton-associated protein (Arc) is an immediate early gene that modulates neuronal plasticity underlying learning and memory. Its role in cocaine-induced neuronal and behavioral adaptations remains elusive. METHODS: Acute cocaine-treated mice were used for quantitative reverse-transcriptase polymerase chain reaction, immunocytochemistry, and confocal imaging from striatum. Live imaging and transfection assays for Arc overexpression were performed from primary cultures. Molecular and behavioral adaptations to cocaine were studied from Arc-deficient mice and their wild-type littermates. RESULTS: Arc messenger RNA and proteins are rapidly induced in the striatum after acute cocaine administration, via an extracellular-signal regulated kinase-dependent de novo protein synthesis. Although detected in dendrites, Arc accumulates in the nucleus in active zones of transcription, where it colocalizes with phospho-Ser10-histone H3, an important component of nucleosomal response. In vitro, Arc overexpression downregulates phospho-Ser10-histone H3 without modifying extracellular-signal regulated kinase phosphorylation in the nucleus. In vivo, Arc-deficient mice display decreased heterochromatin domains, a high RNA-polymerase II activity and enhanced cFos expression. These mice presented an exacerbated psychomotor sensitization and conditioned place preference induced by low doses of cocaine. CONCLUSIONS: Cocaine induces the rapid induction of Arc and its nuclear accumulation in striatal neurons. Locally, it alters the nucleosomal response, and acts as a brake on chromatin remodeling and gene regulation. These original observations posit Arc as a major homeostatic modulator of molecular and behavioral responses to cocaine. Thus, modulating Arc levels may provide promising therapeutic approaches in drug addiction."
5,0,72,Medical , Addiction  , Anxiety; Depression; Follow-up Studies; Mental Health Services; Primary Health Care; Public Health; Quality of Life; Regression Analysis; Street Drugs; Substance-Related Disorders; Suicidal Ideation; Suicide        ,"Background: Suicide is a major public health concern, particularly among people who use illicit substances and/or non-prescribed medications. Methods: The present study prospectively assessed the incidence and predictors of suicidal ideation (SI) and suicide attempt (SA) among 868 substance-using patients over 12 months after receiving primary care within seven public primary care clinics. Results: Participants reported a high incidence of SI (25.9%) and SA (7.1%) over the year following primary care visits. Suicidality was elevated in patients who were female; lacked a high school diploma; were unemployed; reported depression, anxiety, hallucinations, concentration difficulty, or violent behavior; used nicotine or stimulants; used the emergency department or mental health services in the past 90 days; reported current quality-of-life impairment in mobility or usual activities; or reported recent SI or lifetime SA at baseline. In multiple regression analyses, only past 30-day SI, any lifetime SA, past 90-day violent behavior, and current impairment due to anxiety or depression at baseline uniquely predicted SI or SA beyond other variables. Conclusions: Results support the need for screening for suicidality among primary care patients who use illicit substances and identify key of these patients who are at particularly elevated risk for suicidality."
5,0,72,Medical , Addiction  , Addiction; Empathy; Gambling; Perspective-taking; Visuospatial; Cognitive marker        ,"It has been demonstrated that people suffering from substance-related addictions are less empathic than their non-addicted counterparts. Our first aim was to verify if this is also true for behavioral addictions. We hypothesized that problem gamblers are less empathic than healthy controls. Our second aim was to identify a cognitive marker of empathy that could be targeted in cognitive rehabilitation strategies. We propose that a potential cognitive marker of empathy could be visuospatial perspective-taking. Specifically, we hypothesized that visuospatial perspective-taking performances are lower in problem gamblers compared to healthy controls and that these visuospatial performances predict empathy. Thirty-one non-gamblers, 24 healthy gamblers, and 21 problem gamblers performed a visuospatial perspective-taking task before completing the Interpersonal Reactivity Index (IRI; Davis, 1980; Davis, 1983). Problem gamblers had decreased empathy and lower performance at the visuospatial perspective-taking task than non-gamblers and healthy gamblers. Furthermore, we confirmed that visuospatial perspective-taking abilities predict empathy on the IRI dimensions of interpersonal perspective-taking and personal distress. The present study provides new evidence that reduced empathy is not limited to subjects with substance-related addictions; rather, it extends to behavioral addictions. Visuospatial perspective-taking may be a viable cognitive marker for use as a rehabilitation target of empathy."
